name,mean_abs_dB0,max_abs_dB0,mean_rel_dB0,dB0_r2,dB0_pears,dB0_std,mean_abs_B1,max_abs_B1,mean_rel_B1,B1_r2,B1_pears,B1_std,mean_abs_T1,max_abs_T1,mean_rel_T1,T1_r2,T1_pears,T1_std,mean_abs_T2,max_abs_T2,mean_rel_T2,T2_r2,T2_pears,T2_std,loss mean,loss std
lambda0_sweep12Ana_50epochs,0.006257790140807629,1.8167083263397217,41.246639251708984,0.9924070898610855,0.9961963172373623,0.04121701046824455,0.016508664935827255,3.3243517875671387,0.6342516541481018,0.9992818864896967,0.9996623593179877,0.04332209355197847,84.20960235595703,3169.65869140625,5.436574459075928,0.9932286007893557,0.9979736684221379,80.93412220478058,0.0,0.0,0.0,0.0,0.0,0.0,-3.1951422691345215,nan
lambda10000_sweep12Ana_50epochs,0.029132407158613205,3.5969648361206055,42.59703063964844,0.8160115037547941,0.9100252625633993,0.20314010977745056,0.029505008831620216,3.7883358001708984,0.8282070755958557,0.9875470214133655,0.9937547572665707,0.19079226069152355,88.6111831665039,3695.20654296875,6.688642501831055,0.9924978647909032,0.9977214773959002,85.21607518196106,0.0,0.0,0.0,0.0,0.0,0.0,-1.8911149501800537,nan
lambda250000_sweep12Ana_50epochs,0.011079835705459118,1.9499603509902954,38.88886642456055,0.9699420980657615,0.9852346881266211,0.08220359683036804,0.028680382296442986,3.767665386199951,0.7816892862319946,0.988161129662265,0.9940782734004896,0.18604197073727846,91.37757873535156,3003.23193359375,7.096127986907959,0.9920968588148192,0.9976664996932683,87.01563626527786,0.0,0.0,0.0,0.0,0.0,0.0,22.383541107177734,nan
lambda50000_sweep12Ana_50epochs,0.015508356504142284,1.9394822120666504,34.08837127685547,0.9343355714880468,0.9669332527066459,0.12161392718553543,0.03387041017413139,3.8298184871673584,0.861003041267395,0.9811625435149786,0.9905805988350807,0.2350191492587328,89.7176284790039,3542.76318359375,6.865330219268799,0.9922768010635475,0.9976829279901538,86.65922284126282,0.0,0.0,0.0,0.0,0.0,0.0,0.9735984802246094,nan
lambda5000_sweep12Ana_50epochs,0.010139299556612968,1.9430917501449585,24.83000373840332,0.9668007370751001,0.9833453696990552,0.08658198267221451,0.025521401315927505,3.805190086364746,0.7076306939125061,0.987512932855526,0.9937402174567281,0.19163223914802074,88.03697204589844,3131.766357421875,6.376810550689697,0.9927236080429961,0.9978680146194199,83.11698585748672,0.0,0.0,0.0,0.0,0.0,0.0,-2.879395008087158,nan
lambda500_sweep12Ana_50epochs,0.005101200193166733,1.8250277042388916,20.585918426513672,0.9960617553090271,0.9980291720853907,0.02958773449063301,0.015423442237079144,4.1356024742126465,0.5938681960105896,0.9992488350804501,0.999641259620642,0.044837279710918665,80.04320526123047,3025.787841796875,5.264537334442139,0.9934644628524661,0.9979125585742723,82.21623301506042,0.0,0.0,0.0,0.0,0.0,0.0,-5.293941020965576,nan
lambda50_sweep12Ana_50epochs,0.005669803358614445,1.8967909812927246,48.18135070800781,0.9943930163016266,0.9971945571099051,0.035373445600271225,0.015807338058948517,5.066606044769287,0.5939909219741821,0.9992829772895956,0.9996589762219427,0.043545415392145514,85.46680450439453,3233.80029296875,5.517812728881836,0.9929136397600905,0.9978940824686139,83.49569886922836,0.0,0.0,0.0,0.0,0.0,0.0,-2.3616206645965576,nan
2021_12_09_2x256_sweep12_ensemble_30runs_30epochs,0.0038668655324727297,1.7416176795959473,23.6248722076416,0.9983621626174831,0.9991808766030812,0.018972216174006462,0.008054349571466446,3.309095859527588,0.2926592528820038,0.9998424364580976,0.9999212196137909,0.020167321781627834,29.102046966552734,3325.812255859375,1.6097118854522705,0.9977373894334189,0.9988684648419236,60.92049181461334,976.437255859375,4594.4736328125,251.8065185546875,0.13788798076938258,0.37596500226179846,699.062168598175,-14.315316200256348,0.08119144290685654
2x256_ens_sweep12_01_30epochs,0.0041459836065769196,1.8486762046813965,19.197195053100586,0.998632758542387,0.9993189542392977,0.017197953537106514,0.008652439340949059,3.425123691558838,0.31134089827537537,0.9998278090983513,0.9999140036758416,0.020988303003832698,30.608409881591797,3227.68017578125,1.7221044301986694,0.9975731499109548,0.9987869494359284,62.86681443452835,972.1514282226562,4686.26904296875,241.42010498046875,0.11986422628520832,0.34942172644263464,726.0777950286865,-14.314946174621582,nan
2x256_ens_sweep12_02_30epochs,0.00402841018512845,1.8347983360290527,25.92874526977539,0.9983563751083971,0.9991781495314453,0.018973516300320625,0.008929896168410778,5.230518817901611,0.31389278173446655,0.9997881983512489,0.999894836198922,0.02354117576032877,30.564029693603516,3474.781982421875,1.7369352579116821,0.9975589836873903,0.9987787985212832,63.11489641666412,982.993408203125,4708.07666015625,255.94775390625,0.11730859078078515,0.34276415946060595,714.3293023109436,-14.316434860229492,nan
2x256_ens_sweep12_03_30epochs,0.004248493351042271,1.843322992324829,23.074235916137695,0.9983116767635857,0.9991565122381884,0.019193856045603752,0.008899450302124023,3.6396968364715576,0.31930679082870483,0.9997861718206076,0.9998931063063049,0.0236811168724671,31.218294143676758,3008.694580078125,1.8706732988357544,0.9975185335954384,0.998763522678012,63.43940645456314,1000.8103637695312,4746.72705078125,260.4149475097656,0.09374207419134106,0.30713409446611467,717.1766757965088,-14.10811710357666,nan
2x256_ens_sweep12_04_30epochs,0.0041915038600564,1.784274697303772,31.279945373535156,0.9975270299914019,0.9987631150031768,0.02341984584927559,0.008746346458792686,3.575395345687866,0.31387221813201904,0.9997794321874192,0.999889805644963,0.02415924158412963,30.489063262939453,2749.37451171875,1.6975210905075073,0.9976267965762818,0.9988139989553777,62.06006929278374,972.13134765625,4727.5986328125,238.1020965576172,0.1170267025147006,0.34492041289085085,729.3659448623657,-14.37131404876709,nan
